SW14SN60050,IF14-14 Sn60Pb40  0.5mm Solderwire (6kg box),"solder wire IF 14 Sn60Pb40 0,5mm 1,4% 500g spool"
SW14SN60100,IF14-14 Sn60Pb40  1.0mm Solderwire (6kg box),"solder wire IF 14 Sn60Pb40 1,0mm 1,4% 500g spool"
SW14SN60150,IF14-14 Sn60Pb40  1.5mm Solderwire (6kg box),"solder wire IF 14 Sn60Pb40 1,5mm 1,4% 500g spool"
SW14SN62020,"IF14-14 Sn62Pb36Ag2  0,20mm Solderwire (10g spool)","solder wire IF 14 Sn62Pb36Ag2 0,2mm 1,4% 10g spool"
SW14SN62035,IF14-14 Sn62Pb36Ag2  0.35mm Solderwire (6kg box-100g spool),"solder wire IF 14 Sn62Pb36Ag2 0,35mm 1,4% 100g spool"
SW14SN62050,IF14-14 Sn62Pb36Ag2  0.5mm Solderwire (6kg box),"solder wire IF 14 Sn62Pb36Ag2 0,5mm 1,4% 500g spool"
SW14SN62070,IF14-14 Sn62Pb36Ag2  0.7mm Solderwire (6kg box),"solder wire IF 14 Sn62Pb36Ag2 0,7mm 1,4% 500g spool"
SW14SN62100,IF14-14 Sn62Pb36Ag2  1.0mm Solderwire (6kg box),"solder wire IF 14 Sn62Pb36Ag2 1,0mm 1,4% 500g spool"
SW14SN63035,IF14-14 Sn63Pb37  0.35mm Solderwire (6kg box-100g spool),"solder wire IF 14 Sn63Pb37 0,35mm 1,4% 100g spool"
SW14SN63050,IF14-14 Sn63Pb37  0.5mm Solderwire (6kg box),"solder wire IF 14 Sn63Pb37 0,5mm 1,4% 500g spool"
SW14SN63070,IF14-14 Sn63Pb37  0.7mm Solderwire (6kg box),"solder wire IF 14 Sn63Pb37 0,7mm 1,4% 500g spool"
SW14SN63100,IF14-14 Sn63Pb37  1.0mm Solderwire (6kg box),"solder wire IF 14 Sn63Pb37 1,0mm 1,4% 500g spool"
SW14SN63150,IF14-14 Sn63Pb37  1.5mm Solderwire (6kg box),"solder wire IF 14 Sn63Pb37 1,5mm 1,4% 500g spool"
SW16SAC050,"IF14-16 Sn95,5Ag3,8Cu0,7  0.5mm Solderwire (6kg box)","solder wire IF 14 Sn95,5Ag3,8Cu0,7 0,5mm 1,6% 500g spool"
SW16SAC070,"IF14-16 Sn95,5Ag3,8Cu0,7  0.7mm Solderwire (6kg box)","solder wire IF 14 Sn95,5Ag3,8Cu0,7 0,7mm 1,6% 500g spool"
SW16SAC100,"IF14-16 Sn95,5Ag3,8Cu0,7  1.0mm Solderwire (6kg box)","solder wire IF 14 Sn95,5Ag3,8Cu0,7 1,0mm 1,6% 500g spool"
